t,x,y,yaw,roll,pitch,state,target_id
1789540282.3638422,11.988682835612098,0.9378997641161786,-1.3753600544597862,-7.5755160193461e-11,9.505431646983812e-10,NAVIGATING,door_blue_df7a1e
1789540282.713713,11.99555831829406,0.9161708885477082,-1.3996653592710997,-4.2469495693950285e-11,9.583426326941613e-10,NAVIGATING,door_blue_df7a1e
1789540283.0638711,12.002006409671777,0.8943498990212854,-1.4243215764820483,-3.797084023720939e-11,9.73476000518608e-10,NAVIGATING,door_blue_df7a1e
1789540283.4138916,12.008113615436368,0.8680758878632034,-1.4449357058034134,-5.041616566868179e-11,9.811745414277938e-10,NAVIGATING,door_blue_df7a1e
1789540283.7636602,12.013669877706384,0.8417341757960715,-1.465063503722418,-2.7991679800897277e-11,9.677771846922817e-10,NAVIGATING,door_blue_df7a1e
1789540284.1145308,12.017689622794494,0.8197400723827232,-1.479953481274617,-6.645358722194636e-11,9.740761177969154e-10,NAVIGATING,door_blue_df7a1e
1789540284.4639232,12.02102485580966,0.7977202147582231,-1.491497463004823,-3.001620103567179e-11,9.691596030840907e-10,NAVIGATING,door_blue_df7a1e
1789540284.8139553,12.024124688348008,0.7756800740789725,-1.5031225308595642,-2.0038539198855388e-11,9.686531296884313e-10,NAVIGATING,door_blue_df7a1e
1789540285.1653607,12.027201956396896,0.7492102139756568,-1.5144710857747317,-3.91037210912428e-11,9.714145719515138e-10,NAVIGATING,door_blue_df7a1e
1789540285.5147965,12.029325958308245,0.7271408570203194,-1.5219662640616018,-1.7597820605913758e-11,9.689631994203432e-10,NAVIGATING,door_blue_df7a1e
1789540285.8637784,12.031666073975275,0.7006470358150382,-1.5310061967437354,-1.3073255232824315e-11,9.681224626077294e-10,NAVIGATING,door_blue_df7a1e
1789540286.213726,12.033777081316417,0.6741436490639107,-1.5400967584157939,-1.3712495972320407e-11,9.67965949917896e-10,NAVIGATING,door_blue_df7a1e
1789540286.5637457,12.034839683089805,0.656200736569521,-1.5444657422037609,-6.847826058981275e-10,-3.38935790431781e-05,NAVIGATING,door_blue_df7a1e
1789540286.9146087,12.034842341071762,0.6560998065194965,-1.5444657422183539,-1.2341158759184986e-10,-4.3378583883242356e-06,NAVIGATING,door_blue_df7a1e
1789540287.263738,12.032498058123453,0.6560989984836021,-1.5254733893827312,-2.3266128659945363e-10,-7.848546751844242e-07,NAVIGATING,door_blue_df7a1e
1789540287.6139286,12.024258312869568,0.6542531143677033,-1.4590060648033503,-5.1562259131966766e-09,-1.8466873653386844e-05,NAVIGATING,door_blue_df7a1e
1789540287.9641461,12.016678753792165,0.647370408608959,-1.3867377009195192,3.301058701497565e-10,-3.3465885329649956e-06,NAVIGATING,door_blue_df7a1e
